,dimer1,dimer2,similarity
0,3IPS_AB,3IPU_AB,0.994
1,3IPS_AB,5AVI_AC,0.994
2,3IPS_AB,5HJS_AB,0.996
3,3IPS_AB,5JJM_AB,0.902
4,3IPS_AB,5JJM_AC,0.892
5,3IPS_AB,5JJM_AD,0.902
6,3IPS_AB,5JJM_BC,0.886
7,3IPS_AB,5JJM_BD,0.892
8,3IPS_AB,5JJM_CD,0.902
9,3IPS_AB,5X8Q_CE,0.902
10,3IPS_AB,5X8Q_CG,0.902
11,3IPS_AB,5X8Q_EG,0.902
12,3IPS_AB,6A22_AC,0.902
13,3IPS_AB,6A22_AE,0.902
14,3IPS_AB,6A22_AG,0.902
15,3IPS_AB,6A22_CE,0.902
16,3IPS_AB,6A22_CG,0.902
17,3IPS_AB,6A22_EG,0.902
18,3IPS_AB,6IVX_AC,0.902
19,3IPS_AB,6IVX_AE,0.902
20,3IPS_AB,6IVX_CE,0.902
21,3IPS_AB,6S4N_AB,0.898
22,3IPS_AB,6S4N_AC,0.884
23,3IPS_AB,6S4N_BC,0.978
24,3IPS_AB,6S4N_DA,0.976
25,3IPS_AB,6S4N_DB,0.902
26,3IPS_AB,6S4N_DC,0.898
27,3IPS_AB,7E2O_AB,0.956
28,3IPS_AB,8X7E_EG,0.902
29,3IPU_AB,3IPS_AB,0.994
30,3IPU_AB,5AVI_AC,1.0
31,3IPU_AB,5HJS_AB,0.998
32,3IPU_AB,5JJM_AB,0.9
33,3IPU_AB,5JJM_AC,0.89
34,3IPU_AB,5JJM_AD,0.9
35,3IPU_AB,5JJM_BC,0.884
36,3IPU_AB,5JJM_BD,0.89
37,3IPU_AB,5JJM_CD,0.9
38,3IPU_AB,5X8Q_CE,0.9
39,3IPU_AB,5X8Q_CG,0.9
40,3IPU_AB,5X8Q_EG,0.9
41,3IPU_AB,6A22_AC,0.9
42,3IPU_AB,6A22_AE,0.9
43,3IPU_AB,6A22_AG,0.9
44,3IPU_AB,6A22_CE,0.9
45,3IPU_AB,6A22_CG,0.9
46,3IPU_AB,6A22_EG,0.9
47,3IPU_AB,6IVX_AC,0.9
48,3IPU_AB,6IVX_AE,0.9
49,3IPU_AB,6IVX_CE,0.9
50,3IPU_AB,6S4N_AB,0.896
51,3IPU_AB,6S4N_AC,0.882
52,3IPU_AB,6S4N_BC,0.972
53,3IPU_AB,6S4N_DA,0.978
54,3IPU_AB,6S4N_DB,0.9
