index,1,2,3,id,group,cluster,colour
1,0.9991,0.0494,-0.0843,1E3G_Aa_2_010,na,16.0,C16
2,1.0011,0.0565,0.0826,1E3G_Aa_3_0-10,na,2.0,C2
3,1.0007,-0.143,0.0006,1E3G_Aa_4_-100,na,5.0,C5
4,1.0003,0.0432,-0.0839,1GS4_Aa_2_010,na,16.0,C16
5,1.0009,0.0546,0.0833,1GS4_Aa_3_0-10,na,2.0,C2
6,1.0004,-0.1363,0.0097,1GS4_Aa_4_-100,na,5.0,C5
7,1.0049,0.0256,0.0237,1N83_Aa_2_101,na,4.0,C4
8,0.9988,0.0216,-0.0443,1SKX_Aa_2_00-1,na,8.0,C8
9,0.9988,0.0216,-0.0443,1SKX_Aa_3_-100,na,8.0,C8
10,1.0049,0.0256,0.0237,1SKX_Aa_4_-110,na,4.0,C4
11,0.9823,0.0098,-0.0318,1SKX_Aa_7_-110,na,8.0,C8
12,0.9648,0.4624,0.0102,1SKX_Aa_8_11-1,na,13.0,C13
13,0.9983,0.05,-0.1149,1T5Z_Aa_2_020,na,1.0,C1
14,1.001,0.0539,0.0816,1T5Z_Aa_3_0-10,na,2.0,C2
15,0.9988,-0.1781,-0.007,1T5Z_Aa_4_010,na,11.0,C11
16,0.9988,0.0499,-0.1045,1T63_Aa_2_-11-1,na,1.0,C1
17,1.0011,0.0576,0.0844,1T63_Aa_3_-1-10,na,2.0,C2
18,0.9989,-0.1752,-0.002,1T63_Aa_4_-100,na,11.0,C11
19,0.9995,0.047,-0.1021,1T65_Aa_2_00-1,na,1.0,C1
20,1.0049,0.0256,0.0237,1T65_Aa_3_0-10,na,4.0,C4
21,0.9987,-0.1809,-0.0008,1T65_Aa_4_-100,na,11.0,C11
22,1.0026,0.0229,-0.0001,1UHL_Bb_3_200,na,4.0,C4
23,0.9992,0.0484,-0.0944,1XJ7_Aa_2_110,na,16.0,C16
24,1.001,0.0572,0.0844,1XJ7_Aa_3_200,na,2.0,C2
25,0.9997,-0.1589,-0.001,1XJ7_Aa_4_010,na,11.0,C11
26,0.9988,0.0499,-0.1045,1XOW_Aa_2_00-1,na,1.0,C1
27,1.001,0.0572,0.0844,1XOW_Aa_3_100,na,2.0,C2
28,0.9998,-0.1533,0.0009,1XOW_Aa_4_-100,na,5.0,C5
29,0.9999,0.0444,-0.0874,1XQ3_Aa_2_00-1,na,16.0,C16
30,1.0012,0.0527,0.083,1XQ3_Aa_3_100,na,2.0,C2
31,1.0003,0.0432,-0.0839,1Z95_Aa_2_00-1,na,16.0,C16
32,1.0013,0.0554,0.0841,1Z95_Aa_3_100,na,2.0,C2
33,1.0003,-0.1451,0.0012,1Z95_Aa_4_000,na,5.0,C5
34,0.9992,0.0484,-0.0944,2AM9_Aa_2_00-1,na,16.0,C16
35,1.0049,0.0256,0.0237,2AM9_Aa_3_0-10,na,4.0,C4
36,1.0008,-0.131,0.0026,2AM9_Aa_4_-100,na,5.0,C5
37,0.9987,0.0504,-0.101,2AMA_Aa_2_00-1,na,1.0,C1
38,1.0013,0.0554,0.0841,2AMA_Aa_3_100,na,2.0,C2
39,1.0008,-0.131,0.0026,2AMA_Aa_4_-100,na,5.0,C5
40,0.9995,0.0472,-0.0819,2AMB_Aa_2_00-1,na,16.0,C16
41,1.0049,0.0256,0.0237,2AMB_Aa_3_0-10,na,4.0,C4
42,1.0008,-0.131,0.0026,2AMB_Aa_4_-100,na,5.0,C5
43,0.9988,0.0497,-0.1105,2AO6_Aa_2_00-1,na,1.0,C1
44,1.001,0.0572,0.0844,2AO6_Aa_3_100,na,2.0,C2
45,0.999,-0.171,-0.0062,2AO6_Aa_4_-100,na,11.0,C11
46,0.9988,0.0494,-0.1081,2AX6_Aa_2_00-1,na,1.0,C1
47,1.001,0.0539,0.0816,2AX6_Aa_3_100,na,2.0,C2
48,0.9996,-0.1492,-0.0067,2AX6_Aa_4_-100,na,5.0,C5
49,0.9989,0.0491,-0.1055,2AX7_Aa_2_00-1,na,1.0,C1
50,1.001,0.0572,0.0844,2AX7_Aa_3_100,na,2.0,C2
51,0.999,-0.171,-0.0062,2AX7_Aa_4_-100,na,11.0,C11
52,0.9988,0.0494,-0.1081,2AX8_Aa_2_00-1,na,1.0,C1
53,1.0009,0.0546,0.0833,2AX8_Aa_3_100,na,2.0,C2
54,0.999,-0.171,-0.0062,2AX8_Aa_4_-100,na,11.0,C11
55,0.9988,0.0497,-0.1105,2AX9_Aa_2_00-1,na,1.0,C1
56,1.0012,0.0527,0.083,2AX9_Aa_3_100,na,2.0,C2
57,0.999,-0.171,-0.0062,2AX9_Aa_4_-100,na,11.0,C11
58,0.9989,0.0491,-0.1055,2AXA_Aa_2_00-1,na,1.0,C1
59,1.001,0.0572,0.0844,2AXA_Aa_3_100,na,2.0,C2
60,0.999,-0.171,-0.0062,2AXA_Aa_4_-100,na,11.0,C11
61,1.0001,0.0183,-0.0594,2FVJ_Aa_2_010,na,8.0,C8
62,1.0031,0.0266,0.032,2FVJ_Aa_3_0-10,na,4.0,C4
63,0.9893,-0.178,-0.0995,2FVJ_Aa_4_001,na,18.0,C18
64,1.0001,0.0186,-0.0604,2GTK_Aa_2_010,na,8.0,C8
65,1.0042,0.0252,0.0273,2GTK_Aa_3_0-10,na,4.0,C4
66,0.9893,-0.178,-0.0995,2GTK_Aa_4_001,na,18.0,C18
67,1.0015,0.0389,-0.072,2HVC_Aa_2_010,na,16.0,C16
68,1.0011,0.0533,0.08,2HVC_Aa_3_0-10,na,2.0,C2
