ID,name,chain,rmsd_AR,align_len_AR,rmsd_GR,align_len_GR,rmsd_PHBEACH,align_len_PHBEACH
1a6y_A,1a6y,A,4.293,60,3.694,52,3.982,47
1a6y_B,1a6y,B,3.624,53,3.944,57,4.189,52
1a6y_C,1a6y,C,99.0,0,99.0,0,99.0,0
1a6y_D,1a6y,D,99.0,0,99.0,0,99.0,0
1fm6_D,1fm6,D,2.169,208,1.996,207,4.119,119
1fm6_X,1fm6,X,2.124,205,1.949,204,4.551,112
1fm9_D,1fm9,D,2.174,209,1.917,206,4.126,117
1ga5_A,1ga5,A,3.491,52,4.184,59,4.116,49
1ga5_B,1ga5,B,4.415,60,3.951,55,3.948,48
1ga5_C,1ga5,C,99.0,0,99.0,0,99.0,0
1ga5_D,1ga5,D,99.0,0,99.0,0,99.0,0
1ga5_E,1ga5,E,3.617,52,3.739,55,4.09,49
1ga5_F,1ga5,F,3.356,48,3.85,53,4.073,45
1ga5_G,1ga5,G,99.0,0,99.0,0,99.0,0
1ga5_H,1ga5,H,99.0,0,99.0,0,99.0,0
1hcq_A,1hcq,A,2.752,44,3.452,49,4.101,50
1hcq_B,1hcq,B,2.725,44,3.378,47,4.422,55
1hcq_E,1hcq,E,3.724,49,3.518,48,3.855,45
1hcq_F,1hcq,F,2.662,40,2.832,41,3.604,42
1hlz_A,1hlz,A,3.599,52,3.962,57,4.54,57
1hlz_B,1hlz,B,3.455,50,3.526,52,3.939,50
1ilg_A,1ilg,A,2.118,201,1.956,195,4.603,113
1ilh_A,1ilh,A,2.111,200,2.035,197,4.535,111
1k74_D,1k74,D,2.264,211,2.049,209,4.185,108
1k7l_A,1k7l,A,2.116,209,1.945,208,4.225,108
1k7l_C,1k7l,C,2.205,211,1.958,209,4.216,108
1k7l_E,1k7l,E,2.172,210,1.898,207,4.417,112
1k7l_G,1k7l,G,2.134,208,2.016,210,4.299,109
1kkq_A,1kkq,A,2.133,197,1.927,196,4.302,105
1kkq_B,1kkq,B,2.099,195,1.903,194,4.242,111
1kkq_C,1kkq,C,2.036,194,1.928,196,4.52,112
1kkq_D,1kkq,D,2.189,199,1.821,193,4.541,119
1m13_A,1m13,A,2.052,199,2.119,200,4.397,112
1mi5_A,1mi5,A,3.454,82,3.527,78,4.511,85
1mi5_B,1mi5,B,3.824,53,3.897,53,3.132,51
1mi5_D,1mi5,D,3.975,41,4.441,44,4.442,82
1mi5_E,1mi5,E,4.228,87,4.559,93,3.934,86
1nrl_A,1nrl,A,2.04,200,1.983,197,4.602,116
1nrl_B,1nrl,B,2.106,201,1.966,196,4.586,116
1oj5_A,1oj5,A,3.963,74,3.34,65,3.884,61
1r2b_A,1r2b,A,4.03,73,4.033,74,3.887,85
1r2b_B,1r2b,B,3.696,74,4.025,74,3.734,83
1wm0_X,1wm0,X,2.073,206,1.868,205,4.333,112
1zgy_A,1zgy,A,2.096,207,1.871,204,4.316,108
2a66_A,2a66,A,3.689,65,3.523,65,4.374,66
2b02_A,2b02,A,2.969,61,3.829,56,3.738,56
2hfp_A,2hfp,A,2.106,207,1.902,206,4.571,121
2npa_A,2npa,A,2.046,208,1.785,204,4.36,113
2npa_C,2npa,C,2.037,211,1.872,208,4.494,114
2o9i_A,2o9i,A,2.104,202,1.987,198,4.462,114
2o9i_B,2o9i,B,2.099,201,2.009,198,4.523,114
2ocf_D,2ocf,D,3.955,59,3.554,41,4.197,54
2p54_A,2p54,A,2.04,209,1.891,210,4.275,108
2prg_A,2prg,A,2.148,209,1.919,206,4.068,116
2prg_C,2prg,C,1.808,19,1.891,19,1.73,17
3btr_C,3btr,C,4.216,90,3.853,88,4.241,103
3cbo_A,3cbo,A,4.483,86,3.67,62,4.289,81
3cbp_A,3cbp,A,4.56,88,3.96,62,4.339,81
3cs8_A,3cs8,A,1.999,206,1.806,206,4.329,107
3ctb_A,3ctb,A,2.064,202,1.94,197,4.277,110
3ctb_B,3ctb,B,2.042,200,1.96,196,4.41,113
3cwd_B,3cwd,B,2.052,207,1.861,205,4.329,113
3dxa_A,3dxa,A,2.99,76,3.112,76,4.418,85
3dxa_B,3dxa,B,3.762,53,4.382,58,3.309,51
3dxa_D,3dxa,D,4.036,40,3.571,57,3.692,57
3dxa_E,3dxa,E,4.413,79,4.123,85,3.343,59
3dxa_F,3dxa,F,2.991,76,3.111,76,4.423,85
3dxa_G,3dxa,G,3.761,53,3.456,44,3.309,51
3dxa_I,3dxa,I,4.579,47,3.541,57,3.04,50
3dxa_J,3dxa,J,4.582,81,4.099,85,4.067,88
3dxa_K,3dxa,K,2.992,76,3.112,76,4.415,85
3dxa_L,3dxa,L,3.76,53,4.457,58,3.304,51
3dxa_N,3dxa,N,4.577,47,3.571,58,3.028,50
3dxa_O,3dxa,O,4.387,88,4.114,85,3.887,82
3dzu_A,3dzu,A,1.66,199,1.611,193,4.005,94
3dzu_D,3dzu,D,2.218,208,1.877,203,4.097,103
3dzy_A,3dzy,A,1.64,196,1.848,198,4.117,99
3dzy_D,3dzy,D,2.145,208,1.964,207,4.138,103
3e00_A,3e00,A,1.652,198,1.754,197,4.131,93
3e00_D,3e00,D,2.191,210,1.908,207,4.409,110
3et1_A,3et1,A,2.008,207,1.854,208,4.445,116
3et1_B,3et1,B,1.952,205,1.828,206,4.082,115
3et3_A,3et3,A,2.021,206,1.844,205,4.576,111
3f1n_A,3f1n,A,3.439,61,3.616,60,3.535,60
3f1n_B,3f1n,B,3.46,66,3.943,68,4.184,67
3f1o_A,3f1o,A,3.548,62,3.648,60,3.599,61
3f1o_B,3f1o,B,3.463,66,3.94,68,3.206,51
3f1p_A,3f1p,A,3.785,65,3.371,58,3.568,61
3f1p_B,3f1p,B,3.488,65,3.99,68,3.637,55
3h0a_D,3h0a,D,2.065,209,1.824,206,4.097,104
3h7w_A,3h7w,A,3.742,64,3.652,60,3.463,59
3h7w_B,3h7w,B,3.119,60,3.933,67,3.647,55
3h82_A,3h82,A,3.597,64,4.413,63,3.467,60
3h82_B,3h82,B,3.644,69,4.14,61,3.677,56
3hvl_A,3hvl,A,2.105,202,1.971,197,4.531,116
3hvl_B,3hvl,B,2.07,200,1.954,196,4.279,112
3lmp_A,3lmp,A,2.134,210,1.925,209,4.16,104
3prg_A,3prg,A,2.037,204,1.926,205,4.249,108
3qt0_A,3qt0,A,2.002,208,1.78,204,4.497,114
