index,1,2,3,id,group
1,0.979,0.169,0.001,1A52_AB,na
2,0.8286,0.0656,0.0007,1ERE_AB,na
3,1e-04,-0.0019,0.1358,1ERE_AC,na
4,0.6759,0.0075,0.0006,1ERE_CD,na
5,0.0,-0.0018,0.1321,1ERE_DF,na
6,0.979,0.169,0.001,1ERE_EF,na
7,0.979,0.169,0.001,1ERR_AB,na
8,1e-04,-0.0008,0.0025,1FM6_AU,na
9,0.5527,-0.3058,-0.0015,1G50_BC,na
10,0.8368,-0.2183,-0.0026,1GWQ_AB,na
11,0.979,0.169,0.001,1GWR_AB,na
12,0.4619,-0.6211,-0.004,1H9U_AB,na
13,1e-04,-0.0026,0.1595,1H9U_AC,na
14,0.6412,-0.4958,-0.0033,1H9U_CD,na
15,0.5822,-0.3225,-0.0017,1KV6_AB,na
16,0.979,0.169,0.001,1L2I_AB,na
17,0.0,-0.0002,0.0008,1L2J_AB,na
18,0.4527,-0.6105,-0.0028,1MZN_AC,na
19,0.4527,-0.6105,-0.0028,1MZN_EG,na
20,1e-04,-0.0018,0.0098,1OVL_AB,na
21,0.0603,-0.057,0.1233,1OVL_AC,na
22,0.0019,-0.029,0.003,1OVL_BF,na
23,0.0752,-0.1617,0.1145,1OVL_DF,na
24,0.6656,-0.1032,-0.0002,1PCG_AB,na
25,0.5994,-0.3699,-0.0019,1QKU_BC,na
26,0.8259,0.1104,0.001,1R5K_AB,na
27,1e-04,-0.0011,0.052,1R5K_AC,na
28,0.5822,-0.3225,-0.0017,1TFC_AB,na
29,0.0,-0.0018,0.1248,1U3Q_AB,na
30,0.2285,-0.6243,-0.0031,1U3Q_AC,na
31,0.0002,-0.0019,0.0123,1U3Q_BC,na
32,0.4974,-0.5387,-0.0036,1U3Q_BD,na
33,0.2757,-0.654,-0.0032,1U3R_AB,na
34,0.2757,-0.654,-0.0032,1U3S_AB,na
35,0.289,-0.6697,-0.0033,1U9E_AB,na
36,0.3192,-0.6907,-0.0035,1X76_AB,na
37,0.2757,-0.654,-0.0032,1X78_AB,na
38,0.3994,-0.6364,-0.003,1X7B_AB,na
39,0.8636,0.061,0.0005,1X7E_AB,na
40,0.3994,-0.6364,-0.003,1X7J_AB,na
41,0.3364,-0.6927,-0.0042,1XIU_AB,na
42,1e-04,-0.0012,0.0086,1XLS_AB,na
43,1e-04,-0.0002,0.0014,1XLS_AC,na
44,0.9248,-0.0908,-0.0016,1XQC_AB,na
45,0.0002,-0.0029,0.1395,1XQC_AC,na
46,0.0,-0.0013,0.3422,1XQC_BC,na
47,0.9248,-0.0908,-0.0016,1XQC_CD,na
48,0.1496,-0.4635,-0.0017,1XV9_AB,na
49,1e-04,-0.0009,0.13,1XV9_AC,na
50,1e-04,-0.0021,0.3327,1XV9_AD,na
51,0.1496,-0.4635,-0.0017,1XV9_CD,na
52,0.1444,-0.4631,-0.001,1XVP_AB,na
53,1e-04,-0.0009,0.13,1XVP_AC,na
54,1e-04,-0.0021,0.3327,1XVP_AD,na
55,0.21,-0.4889,-0.0014,1XVP_CD,na
56,0.3037,-0.6844,-0.0035,1YY4_AB,na
57,0.3738,-0.6318,-0.0029,1YYE_AB,na
58,0.2665,-0.6455,-0.0031,1ZAF_AB,na
59,0.979,0.169,0.001,1ZKY_AB,na
60,0.979,0.169,0.001,2B1V_AB,na
61,0.979,0.169,0.001,2B1Z_AB,na
62,0.9248,-0.0908,-0.0016,2B23_AB,na
63,0.7461,-0.2002,-0.0013,2BJ4_AB,na
64,0.5812,-0.3348,-0.0018,2EWP_AB,na
65,1e-04,-0.0002,0.0193,2EWP_AD,na
66,0.4457,-0.3807,-0.0022,2EWP_CD,na
67,0.9248,-0.0908,-0.0016,2FAI_AB,na
68,0.2778,-0.6431,-0.0035,2FSZ_AB,na
69,0.979,0.169,0.001,2G44_AB,na
70,0.979,0.169,0.001,2G5O_AB,na
71,0.8368,-0.2183,-0.0026,2GP7_AB,na
