ID,stage,error,details
1FM6_D,monomer,No coverage,"No reference meets coverage (80%)[(76.47058823529412, 83.2), (70.58823529411765, 79.66804979253112), (76.10294117647058, 81.17647058823529), (43.75, 28.743961352657006)]"
1FM6_X,monomer,No coverage,"No reference meets coverage (80%)[(75.36764705882352, 82.0), (71.32352941176471, 80.49792531120332), (75.0, 80.0), (41.17647058823529, 27.053140096618357)]"
1FM9_D,monomer,No coverage,"No reference meets coverage (80%)[(76.55677655677655, 83.6), (70.6959706959707, 80.08298755186722), (75.45787545787546, 80.7843137254902), (42.857142857142854, 28.26086956521739)]"
1ILG_A,monomer,No coverage,"No reference meets coverage (80%)[(74.44444444444444, 80.4), (70.0, 78.42323651452283), (72.22222222222221, 76.47058823529412), (41.85185185185185, 27.294685990338163)]"
1ILH_A,monomer,No coverage,"No reference meets coverage (80%)[(74.07407407407408, 80.0), (70.74074074074073, 79.25311203319502), (72.96296296296296, 77.25490196078432), (41.11111111111111, 26.811594202898554)]"
1K74_D,monomer,No coverage,"No reference meets coverage (80%)[(77.2893772893773, 84.39999999999999), (71.7948717948718, 81.32780082987551), (76.55677655677655, 81.96078431372548), (39.56043956043956, 26.08695652173913)]"
1K7L_A,monomer,No coverage,"No reference meets coverage (80%)[(77.98507462686567, 83.6), (74.25373134328358, 82.57261410788381), (77.61194029850746, 81.56862745098039), (40.298507462686565, 26.08695652173913)]"
1K7L_C,monomer,No coverage,"No reference meets coverage (80%)[(78.73134328358209, 84.39999999999999), (73.88059701492537, 82.15767634854771), (77.98507462686567, 81.96078431372548), (40.298507462686565, 26.08695652173913)]"
1K7L_E,monomer,No coverage,"No reference meets coverage (80%)[(78.35820895522389, 84.0), (74.6268656716418, 82.98755186721992), (77.23880597014924, 81.17647058823529), (41.7910447761194, 27.053140096618357)]"
1K7L_G,monomer,No coverage,"No reference meets coverage (80%)[(77.61194029850746, 83.2), (73.50746268656717, 81.74273858921161), (78.35820895522389, 82.35294117647058), (40.67164179104478, 26.32850241545894)]"
1KKQ_A,monomer,No coverage,"No reference meets coverage (80%)[(72.96296296296296, 78.8), (71.48148148148148, 80.08298755186722), (72.5925925925926, 76.86274509803923), (38.88888888888889, 25.36231884057971)]"
1KKQ_B,monomer,No coverage,"No reference meets coverage (80%)[(72.22222222222221, 78.0), (71.48148148148148, 80.08298755186722), (71.85185185185186, 76.07843137254902), (41.11111111111111, 26.811594202898554)]"
1KKQ_C,monomer,No coverage,"No reference meets coverage (80%)[(71.85185185185186, 77.60000000000001), (71.48148148148148, 80.08298755186722), (72.5925925925926, 76.86274509803923), (41.48148148148148, 27.053140096618357)]"
1KKQ_D,monomer,No coverage,"No reference meets coverage (80%)[(73.70370370370371, 79.60000000000001), (70.74074074074073, 79.25311203319502), (71.48148148148148, 75.68627450980392), (44.074074074074076, 28.743961352657006)]"
1M13_A,monomer,No coverage,"No reference meets coverage (80%)[(72.89377289377289, 79.60000000000001), (69.23076923076923, 78.42323651452283), (73.26007326007326, 78.43137254901961), (41.02564102564102, 27.053140096618357)]"
1MI5_A,monomer,No coverage,"No reference meets coverage (80%)[(29.602888086642597, 32.800000000000004), (41.87725631768953, 48.13278008298755), (28.158844765342963, 30.58823529411765), (30.685920577617328, 20.531400966183575)]"
1MI5_D,monomer,No coverage,"No reference meets coverage (80%)[(20.398009950248756, 16.400000000000002), (31.8407960199005, 26.556016597510375), (21.890547263681594, 17.254901960784313), (40.79601990049751, 19.806763285024154)]"
1MI5_E,monomer,No coverage,"No reference meets coverage (80%)[(36.09958506224066, 34.8), (29.460580912863072, 29.460580912863072), (38.589211618257266, 36.470588235294116), (35.684647302904565, 20.77294685990338)]"
1NRL_A,monomer,No coverage,"No reference meets coverage (80%)[(71.94244604316546, 80.0), (69.06474820143885, 79.66804979253112), (70.86330935251799, 77.25490196078432), (41.726618705035975, 28.019323671497588)]"
1NRL_B,monomer,No coverage,"No reference meets coverage (80%)[(73.0909090909091, 80.4), (69.81818181818183, 79.66804979253112), (71.27272727272728, 76.86274509803923), (42.18181818181818, 28.019323671497588)]"
1OJ5_A,monomer,No coverage,"No reference meets coverage (80%)[(70.47619047619048, 29.599999999999998), (64.76190476190476, 28.21576763485477), (61.904761904761905, 25.49019607843137), (58.0952380952381, 14.734299516908212)]"
1WM0_X,monomer,No coverage,"No reference meets coverage (80%)[(75.73529411764706, 82.39999999999999), (70.95588235294117, 80.08298755186722), (75.36764705882352, 80.3921568627451), (41.17647058823529, 27.053140096618357)]"
1ZGY_A,monomer,No coverage,"No reference meets coverage (80%)[(76.10294117647058, 82.8), (71.32352941176471, 80.49792531120332), (75.0, 80.0), (39.705882352941174, 26.08695652173913)]"
2B02_A,monomer,No coverage,"No reference meets coverage (80%)[(54.95495495495496, 24.4), (53.153153153153156, 24.481327800829874), (50.45045045045045, 21.96078431372549), (50.45045045045045, 13.526570048309178)]"
2HFP_A,monomer,No coverage,"No reference meets coverage (80%)[(76.10294117647058, 82.8), (70.58823529411765, 79.66804979253112), (75.73529411764706, 80.7843137254902), (44.48529411764706, 29.227053140096622)]"
