ID,score_AR,score_ER,score_GR,score_PHBEACH
1a52_A,559.0,1204.0,601.0,633.0
1a52_B,559.0,1204.0,601.0,635.0
1e3g_A,1316.0,557.0,835.0,656.0
1ere_A,557.0,1168.0,593.0,636.0
1ere_B,557.0,1168.0,593.0,636.0
1ere_C,557.0,1168.0,593.0,636.0
1ere_D,557.0,1168.0,593.0,636.0
1ere_E,557.0,1168.0,593.0,636.0
1ere_F,557.0,1168.0,593.0,636.0
1err_A,547.0,1126.0,588.0,621.0
1err_B,536.0,1088.0,574.0,619.0
1fm6_A,548.0,565.0,539.0,632.0
1fm6_D,553.0,546.0,539.0,698.0
1fm6_U,548.0,565.0,539.0,632.0
1fm6_X,553.0,546.0,539.0,698.0
1fm9_A,548.0,565.0,539.0,632.0
1fm9_D,553.0,546.0,539.0,698.0
1g50_A,567.0,1217.0,611.0,645.0
1g50_B,567.0,1217.0,610.0,645.0
1g50_C,567.0,1217.0,608.0,640.0
1gs4_A,1270.0,559.0,821.0,654.0
1gwq_A,562.0,1187.0,596.0,639.0
1gwq_B,559.0,1180.0,593.0,639.0
1gwr_A,562.0,1187.0,600.0,638.0
1gwr_B,566.0,1195.0,606.0,638.0
1h9u_A,511.0,507.0,490.0,564.0
1h9u_B,511.0,507.0,490.0,564.0
1h9u_C,511.0,507.0,490.0,564.0
1h9u_D,511.0,507.0,490.0,564.0
1ilg_A,557.0,537.0,563.0,710.0
1ilh_A,557.0,537.0,563.0,710.0
1k4w_A,524.0,525.0,508.0,638.0
1k74_A,548.0,565.0,539.0,632.0
1k74_D,553.0,546.0,539.0,698.0
1k7l_A,563.0,554.0,521.0,665.0
1k7l_C,563.0,554.0,521.0,665.0
1k7l_E,563.0,554.0,521.0,665.0
1k7l_G,563.0,554.0,521.0,665.0
1kkq_A,563.0,563.0,526.0,671.0
1kkq_B,563.0,563.0,526.0,671.0
1kkq_C,563.0,563.0,526.0,671.0
1kkq_D,563.0,563.0,526.0,671.0
1kv6_A,526.0,582.0,572.0,591.0
1kv6_B,526.0,582.0,572.0,591.0
1l2i_A,562.0,1176.0,592.0,632.0
1l2i_B,557.0,1167.0,592.0,631.0
1l2j_A,547.0,828.0,576.0,628.0
1l2j_B,531.0,779.0,554.0,597.0
1m13_A,562.0,538.0,566.0,710.0
1m2z_A,835.0,595.0,1327.0,680.0
1m2z_D,835.0,592.0,1318.0,678.0
1mi5_A,537.0,515.0,527.0,715.0
1mi5_D,469.0,442.0,456.0,588.0
1mi5_E,492.0,465.0,482.0,678.0
1mv9_A,538.0,538.0,524.0,595.0
1mvc_A,530.0,538.0,511.0,586.0
1mzn_A,540.0,550.0,524.0,615.0
1mzn_C,530.0,538.0,511.0,586.0
1mzn_E,540.0,550.0,524.0,615.0
1mzn_G,530.0,538.0,511.0,586.0
1n4h_A,524.0,525.0,508.0,638.0
1n83_A,534.0,505.0,520.0,636.0
1nde_A,569.0,831.0,579.0,616.0
1nhz_A,804.0,579.0,1235.0,655.0
1nq7_A,524.0,525.0,508.0,638.0
1nrl_A,566.0,542.0,569.0,712.0
1nrl_B,560.0,541.0,566.0,711.0
1oj5_A,316.0,306.0,326.0,389.0
1ovl_A,545.0,527.0,519.0,628.0
1ovl_B,553.0,535.0,533.0,637.0
1ovl_C,549.0,518.0,523.0,628.0
1ovl_D,545.0,529.0,526.0,631.0
1ovl_E,561.0,538.0,552.0,653.0
1ovl_F,545.0,516.0,513.0,625.0
1p8d_A,507.0,500.0,504.0,667.0
1p8d_B,499.0,502.0,497.0,658.0
1p93_A,828.0,588.0,1276.0,667.0
1p93_B,823.0,584.0,1267.0,663.0
1p93_C,828.0,588.0,1276.0,667.0
1p93_D,828.0,588.0,1276.0,667.0
1pcg_A,564.0,1143.0,585.0,628.0
1pcg_B,574.0,1195.0,604.0,642.0
1pzl_A,524.0,497.0,516.0,592.0
1qkm_A,558.0,836.0,582.0,609.0
1qkt_A,574.0,1199.0,606.0,648.0
1qku_A,567.0,1217.0,611.0,645.0
1qku_B,567.0,1217.0,611.0,645.0
1qku_C,567.0,1217.0,611.0,645.0
1r5k_A,553.0,1189.0,595.0,626.0
1r5k_B,553.0,1183.0,595.0,626.0
1r5k_C,553.0,1183.0,595.0,626.0
1rdt_A,525.0,534.0,506.0,581.0
1rdt_D,538.0,531.0,529.0,660.0
1s0x_A,534.0,505.0,520.0,636.0
1sj0_A,565.0,1202.0,609.0,641.0
1skx_A,538.0,500.0,539.0,654.0
1t5z_A,1316.0,557.0,835.0,656.0
1t63_A,1316.0,557.0,835.0,656.0
1t65_A,1316.0,559.0,840.0,657.0
1tfc_A,536.0,582.0,582.0,600.0
1tfc_B,536.0,582.0,582.0,600.0
1u3q_A,556.0,839.0,571.0,602.0
1u3q_B,551.0,838.0,575.0,603.0
1u3q_C,556.0,839.0,571.0,602.0
1u3q_D,556.0,839.0,571.0,602.0
1u3r_A,561.0,834.0,579.0,620.0
1u3r_B,555.0,832.0,576.0,610.0
1u3s_A,556.0,839.0,571.0,605.0
1u3s_B,548.0,832.0,568.0,598.0
1u9e_A,548.0,832.0,568.0,598.0
1u9e_B,555.0,834.0,577.0,611.0
1uhl_A,522.0,541.0,509.0,588.0
1uhl_B,491.0,482.0,461.0,608.0
1uom_A,553.0,1155.0,589.0,635.0
1wm0_X,559.0,549.0,544.0,695.0
1x76_A,551.0,834.0,571.0,602.0
1x76_B,551.0,834.0,571.0,602.0
1x78_A,558.0,834.0,577.0,609.0
1x78_B,558.0,834.0,577.0,609.0
1x7b_A,558.0,834.0,577.0,609.0
1x7b_B,551.0,834.0,571.0,602.0
1x7e_A,566.0,1181.0,601.0,640.0
1x7e_B,566.0,1181.0,601.0,640.0
1x7j_A,551.0,834.0,571.0,602.0
1x7j_B,551.0,834.0,571.0,602.0
1x7r_A,556.0,1168.0,591.0,628.0
1xb7_A,508.0,540.0,533.0,582.0
1xiu_A,506.0,545.0,515.0,599.0
1xiu_B,513.0,545.0,527.0,607.0
1xj7_A,1316.0,561.0,837.0,662.0
1xls_A,548.0,565.0,539.0,632.0
1xls_B,548.0,565.0,539.0,632.0
1xls_C,548.0,565.0,539.0,632.0
1xls_D,548.0,565.0,539.0,632.0
1xls_E,508.0,503.0,524.0,656.0
1xls_F,508.0,503.0,524.0,656.0
1xls_G,508.0,503.0,524.0,656.0
1xls_H,508.0,503.0,524.0,656.0
1xow_A,1265.0,556.0,820.0,650.0
1xp1_A,567.0,1213.0,611.0,642.0
1xp6_A,567.0,1213.0,611.0,642.0
1xp9_A,567.0,1213.0,611.0,642.0
1xpc_A,567.0,1213.0,611.0,642.0
1xq3_A,1265.0,556.0,820.0,650.0
1xqc_A,541.0,1107.0,574.0,628.0
1xqc_B,536.0,1091.0,570.0,627.0
1xqc_C,541.0,1107.0,574.0,628.0
1xqc_D,536.0,1091.0,570.0,627.0
1xv9_A,548.0,565.0,539.0,632.0
1xv9_B,518.0,510.0,526.0,677.0
1xv9_C,548.0,565.0,539.0,632.0
1xv9_D,518.0,510.0,526.0,677.0
1xvp_A,548.0,565.0,539.0,632.0
1xvp_B,518.0,510.0,526.0,677.0
1xvp_C,561.0,565.0,552.0,641.0
1xvp_D,518.0,510.0,526.0,677.0
1yim_A,567.0,1213.0,611.0,642.0
1yin_A,563.0,1188.0,605.0,641.0
1yok_A,540.0,549.0,557.0,641.0
1yuc_A,544.0,556.0,562.0,646.0
1yuc_B,544.0,553.0,563.0,648.0
1yy4_A,551.0,834.0,571.0,602.0
1yy4_B,551.0,834.0,571.0,602.0
1yye_A,558.0,834.0,577.0,609.0
1yye_B,551.0,830.0,571.0,602.0
1z95_A,1233.0,546.0,794.0,636.0
1zaf_A,555.0,833.0,574.0,609.0
1zaf_B,555.0,833.0,574.0,609.0
1zdt_A,526.0,555.0,540.0,606.0
1zdt_B,526.0,570.0,543.0,622.0
1zdu_A,538.0,548.0,556.0,626.0
1zgy_A,553.0,546.0,539.0,698.0
1zky_A,559.0,1166.0,590.0,639.0
1zky_B,563.0,1196.0,599.0,648.0
2a3i_A,829.0,564.0,888.0,699.0
2am9_A,1307.0,559.0,840.0,657.0
2ama_A,1265.0,556.0,820.0,650.0
2amb_A,1284.0,558.0,830.0,655.0
2ao6_A,1265.0,554.0,815.0,649.0
2ax6_A,1262.0,558.0,810.0,653.0
2ax7_A,1239.0,556.0,800.0,637.0
2ax8_A,1233.0,546.0,794.0,636.0
2ax9_A,1244.0,552.0,805.0,637.0
2axa_A,1244.0,552.0,805.0,637.0
2ayr_A,574.0,1199.0,606.0,646.0
2b02_A,323.0,314.0,334.0,394.0
2b1v_A,559.0,1162.0,590.0,638.0
2b1v_B,563.0,1196.0,597.0,643.0
2b1z_A,557.0,1157.0,590.0,638.0
2b1z_B,563.0,1174.0,595.0,639.0
2b23_A,551.0,1123.0,580.0,634.0
2b23_B,557.0,1152.0,588.0,633.0
2bj4_A,531.0,1094.0,559.0,615.0
2bj4_B,536.0,1115.0,571.0,619.0
2e2r_A,537.0,582.0,582.0,600.0
2ewp_A,536.0,582.0,579.0,598.0
2ewp_B,536.0,582.0,579.0,598.0
2ewp_C,529.0,582.0,572.0,591.0
2ewp_D,526.0,578.0,572.0,591.0
2ewp_E,517.0,565.0,566.0,586.0
2fai_A,559.0,1162.0,590.0,638.0
2fai_B,563.0,1196.0,599.0,648.0
2fsz_A,544.0,800.0,563.0,607.0
2fsz_B,544.0,812.0,570.0,613.0
2fvj_A,541.0,535.0,531.0,677.0
2g44_A,559.0,1166.0,590.0,639.0
2g44_B,559.0,1152.0,590.0,643.0
2g5o_A,559.0,1166.0,590.0,639.0
2g5o_B,559.0,1161.0,590.0,639.0
2giu_A,548.0,809.0,575.0,606.0
2gp7_A,526.0,582.0,575.0,593.0
2gp7_B,529.0,582.0,575.0,593.0
2gp7_C,526.0,582.0,575.0,593.0
2gp7_D,526.0,582.0,575.0,593.0
2gpo_A,526.0,582.0,575.0,593.0
2gpp_A,536.0,582.0,582.0,600.0
2gpp_B,536.0,582.0,579.0,598.0
2gpu_A,529.0,578.0,572.0,591.0
2gpv_A,537.0,578.0,579.0,598.0
2gpv_B,536.0,578.0,579.0,598.0
2gpv_C,536.0,578.0,579.0,598.0
2gpv_D,515.0,547.0,564.0,580.0
2gpv_E,508.0,547.0,557.0,573.0
2gpv_F,515.0,543.0,562.0,578.0
2gtk_A,541.0,535.0,531.0,677.0
2hbh_A,539.0,538.0,541.0,634.0
2hc4_A,539.0,538.0,541.0,634.0
2hcd_A,539.0,538.0,541.0,634.0
2hfp_A,553.0,546.0,539.0,698.0
2hvc_A,1316.0,557.0,835.0,656.0
2i0g_A,552.0,808.0,574.0,601.0
2i0g_B,552.0,812.0,574.0,602.0
2i0j_A,539.0,1111.0,569.0,618.0
2i0j_B,546.0,1128.0,581.0,624.0
2i0j_C,539.0,1119.0,569.0,619.0
2i0j_D,538.0,1118.0,577.0,620.0
2iog_A,567.0,1205.0,605.0,641.0
2iok_A,539.0,1139.0,576.0,619.0
2iok_B,540.0,1147.0,590.0,624.0
2j7x_A,564.0,840.0,587.0,608.0
2j7y_A,560.0,834.0,582.0,606.0
2jf9_A,528.0,1088.0,564.0,607.0
2jf9_B,518.0,1054.0,556.0,598.0
2jf9_C,528.0,1081.0,569.0,604.0
2jfa_A,531.0,1110.0,568.0,619.0
2jfa_B,536.0,1128.0,566.0,619.0
2jj3_A,552.0,818.0,574.0,605.0
2jj3_B,552.0,822.0,576.0,611.0
2lbd_A,497.0,498.0,509.0,646.0
2npa_A,561.0,563.0,526.0,670.0
2npa_C,562.0,557.0,521.0,665.0
2nv7_A,558.0,834.0,577.0,609.0
2nv7_B,551.0,834.0,571.0,602.0
2o9i_A,566.0,549.0,566.0,717.0
2o9i_B,566.0,549.0,566.0,717.0
2ocf_A,553.0,1155.0,591.0,638.0
2ouz_A,567.0,1217.0,611.0,643.0
2oz7_A,1297.0,562.0,832.0,655.0
2p15_A,558.0,1196.0,597.0,646.0
2p15_B,565.0,1202.0,611.0,642.0
2p1t_A,530.0,537.0,507.0,586.0
2p1u_A,530.0,537.0,507.0,586.0
2p1v_A,530.0,537.0,507.0,586.0
2p54_A,563.0,554.0,521.0,665.0
2p7a_A,529.0,582.0,572.0,591.0
2p7g_A,526.0,582.0,572.0,591.0
2p7z_A,505.0,547.0,557.0,573.0
2pio_A,1302.0,556.0,832.0,654.0
2pip_L,1307.0,557.0,835.0,656.0
2piq_A,1307.0,557.0,835.0,656.0
2pir_A,1316.0,557.0,835.0,656.0
2pit_A,1316.0,557.0,835.0,656.0
2piu_A,1302.0,556.0,832.0,654.0
2piv_A,1307.0,557.0,835.0,656.0
2piw_A,1302.0,556.0,832.0,654.0
2pix_A,1302.0,556.0,832.0,654.0
2pjl_A,511.0,544.0,539.0,586.0
2pjl_B,511.0,544.0,539.0,586.0
2pkl_A,1307.0,557.0,835.0,656.0
2pnu_A,1279.0,557.0,823.0,652.0
2pog_A,553.0,1139.0,582.0,630.0
2pog_B,522.0,1055.0,548.0,606.0
2prg_A,546.0,546.0,532.0,691.0
2prg_B,533.0,522.0,520.0,648.0
2q3y_A,881.0,572.0,935.0,666.0
2q6j_A,563.0,1204.0,607.0,645.0
2q6j_B,555.0,1162.0,598.0,637.0
2q70_A,559.0,1156.0,594.0,633.0
2q70_B,522.0,1055.0,548.0,606.0
2q7i_A,1256.0,554.0,820.0,647.0
2q7j_A,1288.0,558.0,832.0,655.0
2q7k_A,1254.0,552.0,825.0,651.0
2q7l_A,1282.0,556.0,837.0,658.0
2qa6_A,563.0,1202.0,603.0,646.0
2qa6_B,565.0,1202.0,611.0,642.0
2qa8_A,549.0,1134.0,580.0,632.0
2qa8_B,555.0,1160.0,598.0,638.0
2qab_A,559.0,1180.0,598.0,638.0
2qab_B,563.0,1214.0,607.0,648.0
2qe4_A,524.0,1039.0,546.0,592.0
2qe4_B,516.0,1024.0,539.0,591.0
2qgt_A,559.0,1184.0,598.0,639.0
2qgt_B,560.0,1193.0,604.0,640.0
2qgw_A,559.0,1180.0,598.0,638.0
2qgw_B,563.0,1200.0,607.0,647.0
2qh6_A,555.0,1154.0,594.0,635.0
2qh6_B,551.0,1141.0,586.0,629.0
2qnv_A,547.0,504.0,545.0,664.0
2qr9_A,558.0,1196.0,597.0,646.0
2qr9_B,565.0,1202.0,611.0,642.0
2qse_A,558.0,1173.0,587.0,640.0
2qse_B,565.0,1202.0,611.0,642.0
2qtu_A,542.0,801.0,570.0,597.0
2qtu_B,542.0,805.0,570.0,598.0
2qw4_A,547.0,534.0,525.0,625.0
2qw4_B,547.0,534.0,525.0,625.0
2qw4_C,544.0,532.0,522.0,626.0
2qw4_D,540.0,529.0,522.0,622.0
2qxm_A,558.0,1159.0,588.0,640.0
2qxm_B,565.0,1202.0,611.0,642.0
2qxs_A,565.0,1190.0,602.0,634.0
2qxs_B,547.0,1126.0,582.0,625.0
2qzo_A,558.0,1126.0,585.0,625.0
2qzo_B,559.0,1166.0,597.0,637.0
2r6w_A,544.0,1125.0,576.0,629.0
2r6w_B,532.0,1113.0,568.0,615.0
2r6y_A,554.0,1143.0,592.0,630.0
2r6y_B,533.0,1102.0,564.0,611.0
2v0v_A,445.0,451.0,454.0,535.0
2v0v_B,445.0,451.0,454.0,535.0
2v0v_C,443.0,446.0,449.0,532.0
2v0v_D,443.0,446.0,449.0,532.0
2v7c_B,434.0,433.0,438.0,518.0
2yat_A,561.0,1095.0,578.0,626.0
2yhd_A,1302.0,558.0,837.0,655.0
2yja_B,567.0,1217.0,610.0,645.0
2yjd_A,548.0,832.0,568.0,598.0
2yjd_B,548.0,832.0,568.0,598.0
2ylo_A,1307.0,559.0,840.0,657.0
2ylp_A,1302.0,558.0,837.0,655.0
2ylq_A,1302.0,558.0,837.0,655.0
2yly_A,535.0,818.0,563.0,599.0
2yly_B,542.0,822.0,569.0,607.0
2z4b_A,552.0,808.0,574.0,601.0
2z4b_B,552.0,812.0,574.0,602.0
2z4j_A,1302.0,556.0,832.0,654.0
2zas_A,537.0,582.0,582.0,600.0
2zbs_A,537.0,582.0,582.0,600.0
2zkc_A,537.0,582.0,582.0,600.0
2zxz_A,530.0,538.0,511.0,586.0
2zy0_A,532.0,539.0,513.0,589.0
2zy0_C,532.0,539.0,513.0,589.0
3a9e_A,525.0,547.0,512.0,592.0
3a9e_B,508.0,505.0,512.0,633.0
3b0w_A,469.0,493.0,490.0,583.0
3b0w_B,469.0,496.0,492.0,583.0
3b5r_A,1297.0,556.0,832.0,654.0
3b65_A,1297.0,556.0,832.0,654.0
3b66_A,1297.0,556.0,832.0,654.0
3b67_A,1297.0,556.0,832.0,654.0
3b68_A,1297.0,556.0,832.0,654.0
3bej_A,512.0,511.0,517.0,625.0
3bej_B,522.0,515.0,526.0,627.0
3bqd_A,835.0,592.0,1318.0,678.0
3btr_C,651.0,656.0,666.0,866.0
3cbo_A,506.0,467.0,507.0,648.0
3cbp_A,506.0,467.0,506.0,645.0
3cld_A,825.0,591.0,1259.0,673.0
3cld_B,820.0,591.0,1247.0,666.0
3cqv_A,476.0,461.0,472.0,578.0
3cs8_A,544.0,541.0,537.0,694.0
3ctb_A,580.0,553.0,594.0,720.0
3ctb_B,581.0,554.0,592.0,720.0
3cwd_A,539.0,535.0,531.0,674.0
3cwd_B,534.0,536.0,529.0,680.0
3d24_A,497.0,537.0,526.0,577.0
3d24_C,508.0,548.0,538.0,584.0
3dct_A,527.0,515.0,530.0,628.0
3dcu_A,527.0,515.0,530.0,628.0
3dr1_A,539.0,538.0,542.0,637.0
3dt3_A,551.0,1156.0,592.0,630.0
3dt3_B,565.0,1204.0,609.0,642.0
3dxa_A,526.0,510.0,521.0,713.0
3dxa_E,491.0,479.0,498.0,682.0
3dxa_F,526.0,510.0,521.0,713.0
3dxa_J,491.0,479.0,498.0,682.0
3dxa_K,526.0,510.0,521.0,713.0
3dxa_O,491.0,479.0,498.0,682.0
3dzu_A,560.0,566.0,532.0,685.0
3dzu_D,627.0,587.0,586.0,790.0
3dzy_A,568.0,573.0,539.0,697.0
3dzy_D,624.0,585.0,586.0,786.0
3e00_A,563.0,566.0,529.0,682.0
3e00_D,627.0,589.0,590.0,800.0
3e7c_A,833.0,593.0,1284.0,682.0
3e7c_B,820.0,594.0,1266.0,681.0
3e94_A,530.0,537.0,507.0,586.0
