index,1,2,3,id,group
1,0.9609,0.2139,-0.0794,1M2Z_Ad_1_000,10
2,1.0062,-0.0043,-0.0636,1M2Z_Aa_2_000,11
3,1.0062,-0.0043,-0.0636,1M2Z_Aa_3_00-1,11
4,0.9552,0.0422,-0.0373,1M2Z_Ad_3_00-1,1
5,0.9924,0.0729,-0.056,1M2Z_Ad_4_100,20
6,1.0062,-0.0043,-0.0636,1M2Z_Dd_2_000,11
7,1.0062,-0.0043,-0.0636,1M2Z_Dd_3_00-1,11
8,1.0122,0.0659,0.0028,1NHZ_Aa_2_00-1,1
9,1.0033,-0.0166,0.0061,1NHZ_Aa_4_-100,7
10,0.956,0.0365,-0.0285,1P93_Ab_1_000,1
11,0.9667,0.1619,-0.0316,1P93_Ac_1_000,9
12,1.0062,-0.0043,-0.0636,1P93_Ad_1_000,11
13,0.9986,0.0634,0.0008,1P93_Ac_3_00-1,20
14,1.0061,-0.0051,-0.068,1P93_Bc_1_000,11
15,1.0062,-0.0043,-0.0636,1P93_Bc_2_100,11
16,0.9657,0.1664,-0.0326,1P93_Bd_2_100,9
17,0.9956,0.0573,-0.049,1P93_Bd_3_000,20
18,0.9593,0.0456,-0.0355,1P93_Cd_1_000,2
19,1.0122,0.0659,0.0028,1RDT_Dd_4_-100,1
20,1.0122,0.0659,0.0028,1S0X_Aa_2_101,1
21,1.004,0.0064,0.0789,2A3I_Aa_2_120,11
22,1.0032,-0.0222,0.045,2A3I_Aa_3_100,17
23,0.9981,-0.0403,0.0452,2A3I_Aa_4_010,1
24,1.004,-0.0011,0.0263,2PRG_Bb_3_200,18
25,1.0012,-0.0698,0.0755,2Q3Y_Aa_2_-1-1-1,7
26,1.0012,-0.0698,0.0755,2Q3Y_Aa_3_0-10,7
27,0.9886,-0.1584,-0.0751,2Q3Y_Aa_5_-1-1-1,13
28,1.0036,-0.0304,0.0623,2V0V_Ac_1_000,7
29,0.9875,-0.1148,-0.0117,2V0V_Ad_1_000,4
30,1.0096,0.0376,-0.0255,2V0V_Ab_2_00-1,4
31,0.9932,-0.0589,0.0363,2V0V_Aa_3_-10-1,18
32,1.003,-0.0346,0.0625,2V0V_Ab_3_-10-1,7
33,0.9469,0.0264,-0.0088,2V0V_Ad_3_-10-1,20
34,1.0012,-0.0519,-0.0839,2V0V_Ac_4_010,6
35,0.977,-0.0261,0.0052,2V0V_Ad_6_-10-1,13
36,0.994,-0.0617,0.0047,2V0V_Ad_8_-10-1,4
37,0.9926,-0.0603,0.0377,2V0V_Bc_1_000,18
38,1.0096,0.0376,-0.0255,2V0V_Bd_1_000,4
39,0.9883,-0.0946,-0.001,2V0V_Bb_2_00-1,4
40,1.0026,-0.0369,0.059,2V0V_Bd_4_000,7
41,0.993,-0.0211,0.0004,2V0V_Bc_8_000,18
42,0.9873,-0.1158,-0.0211,2V0V_Cc_2_00-1,13
43,1.0,-0.0316,0.0717,2V0V_Cd_2_01-1,7
44,1.0122,0.0659,0.0028,2V0V_Cd_3_00-1,1
45,0.9884,-0.2073,-0.0986,2V0V_Cd_7_-10-1,1
46,0.993,-0.0211,0.0004,2V0V_Dd_3_-10-1,18
47,0.9468,0.0235,-0.0102,2V7C_Ab_1_000,20
48,0.9929,-0.0293,0.0061,2V7C_Aa_2_100,18
49,0.9929,-0.0293,0.0061,2V7C_Aa_3_-11-1,18
50,0.992,-0.0677,-0.0073,2V7C_Ab_3_-11-1,4
51,1.001,-0.0386,0.0617,2V7C_Ab_4_010,7
52,1.0025,-0.0376,0.0637,2V7C_Ab_4_020,7
53,0.9947,-0.0506,0.0298,2V7C_Bb_2_100,18
54,0.9947,-0.0506,0.0298,2V7C_Bb_3_-11-1,18
55,1.0052,-0.0108,-0.0686,2V7C_Bb_4_010,4
56,0.9932,-0.1425,0.0462,3B0W_Aa_2_000,5
57,0.9932,-0.1425,0.0462,3B0W_Aa_3_00-1,5
58,1.0081,0.0209,0.029,3BEJ_Bb_3_100,14
59,0.9926,-0.1094,-0.0146,3BQD_Aa_4_10-1,13
60,0.9926,-0.1094,-0.0146,3BQD_Aa_5_110,13
61,0.9583,0.0506,-0.0419,3BQD_Aa_6_110,1
62,0.9564,0.0482,-0.0358,3CLD_Ab_1_000,1
63,0.9894,0.0478,-0.003,3CLD_Ab_1_001,17
64,1.0062,-0.0043,-0.0636,3CLD_Aa_2_000,11
65,0.9951,0.0664,-0.0042,3CLD_Ab_2_000,9
66,1.0062,-0.0043,-0.0636,3CLD_Aa_3_00-1,11
67,0.9899,0.0425,-0.0642,3CLD_Ab_6_100,20
