index,1,2,3,4,5,id,group,cluster,colour
1,0.0002,-0.0101,-0.0021,0.0001,-0.0023,1M2Z_AD,9,5.0,C5
2,0.0012,-0.6871,-0.2167,-0.0069,0.0075,1P93_AB,2,3.0,C3
3,0.0004,-0.0118,-0.0021,-0.0,-0.003,1P93_AC,9,5.0,C5
4,0.0832,-0.006,-0.0029,0.7527,-0.0229,1P93_AD,11,18.0,C18
5,0.0052,-0.0077,0.0021,0.9294,-0.0382,1P93_BC,11,7.0,C7
6,0.0011,-0.5719,-0.1787,-0.0054,0.0053,1P93_CD,2,3.0,C3
7,0.1401,-0.006,-0.0053,0.1377,0.0066,1XLS_EG,16,14.0,C14
8,0.0011,-0.3065,-0.0947,-0.0031,0.0058,2V0V_AB,1,15.0,C15
9,0.0007,-0.0809,-0.0186,0.0001,-0.0001,2V0V_AC,11,5.0,C5
10,0.0494,-0.1949,0.0195,0.0699,-0.0344,2V0V_AD,4,12.0,C12
11,0.0968,-0.0527,0.1357,-0.0002,-0.0714,2V0V_BC,18,19.0,C19
12,0.0,-0.0111,-0.0036,-0.0002,0.0002,2V0V_BD,4,5.0,C5
13,0.0018,-0.8471,-0.2682,-0.0097,0.0066,3CLD_AB,2,10.0,C10
14,0.0017,-0.8532,-0.2701,-0.0094,0.0065,3E7C_AB,2,10.0,C10
15,0.002,-0.0093,0.0055,0.2905,-0.0087,3GN8_AB,16,2.0,C2
16,0.001,-0.0839,-0.0205,0.0035,-0.0067,3H52_AB,4,5.0,C5
17,0.0017,-0.2268,-0.0665,-0.0017,0.0011,3H52_AC,1,12.0,C12
18,0.0027,-0.0041,0.0011,0.0008,-0.0074,3H52_AD,5,5.0,C5
19,0.0024,-0.1666,-0.0212,0.0067,-0.0132,3H52_CD,4,12.0,C12
20,0.0018,-0.8501,-0.2689,-0.0101,0.0067,3K22_AB,2,10.0,C10
21,0.0013,-0.1034,0.012,0.02,0.0348,3K23_BC,4,5.0,C5
22,0.9796,0.0094,-0.019,-0.0036,0.0232,3OKI_AC,18,1.0,C1
23,0.9796,0.0094,-0.019,-0.0036,0.0232,3OLF_AC,18,1.0,C1
24,0.9705,0.0058,-0.0098,-0.0093,0.0009,3OMK_AC,18,1.0,C1
25,0.9796,0.0094,-0.019,-0.0036,0.0232,3OMM_AC,18,1.0,C1
26,0.0079,-0.2331,0.7556,0.0116,0.4282,3OOF_AC,20,6.0,C6
27,0.8919,0.0061,-0.013,0.0048,0.0133,3OOK_AC,18,13.0,C13
28,0.0023,-0.0052,0.0031,0.3999,-0.0141,4E2J_AB,16,2.0,C2
29,0.0021,-0.004,0.0008,0.0011,-0.0065,4MDD_AB,5,5.0,C5
30,0.0458,-0.012,0.0002,0.0095,-0.0003,4OIV_AB,12,5.0,C5
31,0.0006,-0.0217,0.0489,0.0111,0.0522,4P6X_AE,17,5.0,C5
32,0.0718,-0.0362,0.0623,-0.007,-0.0436,4P6X_AG,20,19.0,C19
33,0.1312,-0.0468,0.0935,-0.0117,-0.0727,4P6X_CE,20,19.0,C19
34,0.0022,-0.8065,-0.2522,-0.0074,0.0045,4P6X_CG,2,10.0,C10
35,0.0052,-0.0077,0.0021,0.9294,-0.0382,4P6X_CI,11,7.0,C7
36,0.0,-0.0021,-0.0006,-0.0,-0.0003,4P6X_GI,9,5.0,C5
37,0.1475,-0.0034,-0.0068,0.5133,-0.0078,4P6X_GK,11,11.0,C11
38,0.0011,-0.3681,-0.1136,-0.0032,0.0035,4WVD_AB,1,15.0,C15
39,0.1947,-0.0428,0.1246,-0.0103,-0.07,5IAW_AB,20,9.0,C9
40,0.0034,-0.0111,0.0199,0.2139,0.0091,5ICK_AB,16,2.0,C2
41,0.921,-0.0045,0.0154,-0.0113,-0.0236,5Q0J_AC,18,13.0,C13
42,0.0077,-0.2449,0.7958,0.0131,0.4921,5Q0L_AC,20,6.0,C6
43,0.9796,0.0094,-0.019,-0.0036,0.0232,5Q0N_AC,18,1.0,C1
44,0.857,-0.0079,0.0229,-0.0104,-0.0361,5Q0O_AC,18,13.0,C13
45,0.9796,0.0094,-0.019,-0.0036,0.0232,5Q0P_AC,18,1.0,C1
46,0.0749,-0.211,0.6655,-0.0283,-0.6084,5Q0Q_AC,20,4.0,C4
47,0.9705,0.0058,-0.0098,-0.0093,0.0009,5Q0S_AC,18,1.0,C1
48,0.9796,0.0094,-0.019,-0.0036,0.0232,5Q0U_AC,18,1.0,C1
49,0.9796,0.0094,-0.019,-0.0036,0.0232,5Q0V_AC,18,1.0,C1
50,0.9705,0.0058,-0.0098,-0.0093,0.0009,5Q0Y_AC,18,1.0,C1
51,0.8914,0.007,-0.0134,0.0047,0.0141,5Q0Z_AC,18,13.0,C13
52,0.2274,-0.0113,0.0219,-0.0137,-0.0411,5Q13_AC,5,16.0,C16
53,0.9796,0.0094,-0.019,-0.0036,0.0232,5Q14_AC,18,1.0,C1
54,0.9796,0.0094,-0.019,-0.0036,0.0232,5Q15_AC,18,1.0,C1
55,0.9705,0.0058,-0.0098,-0.0093,0.0009,5Q16_AC,18,1.0,C1
56,0.921,-0.0045,0.0154,-0.0113,-0.0236,5Q18_AC,18,13.0,C13
57,0.9705,0.0058,-0.0098,-0.0093,0.0009,5Q19_AC,18,1.0,C1
58,0.9705,0.0058,-0.0098,-0.0093,0.0009,5Q1A_AC,18,1.0,C1
59,0.921,-0.0045,0.0154,-0.0113,-0.0236,5Q1B_AC,18,13.0,C13
60,0.9796,0.0094,-0.019,-0.0036,0.0232,5Q1C_AC,18,1.0,C1
61,0.9796,0.0094,-0.019,-0.0036,0.0232,5Q1D_AC,18,1.0,C1
62,0.9796,0.0094,-0.019,-0.0036,0.0232,5Q1F_AC,18,1.0,C1
63,0.921,-0.0045,0.0154,-0.0113,-0.0236,5Q1H_AC,18,13.0,C13
64,0.0074,-0.2403,0.7822,0.0132,0.4948,5Q1H_AG,20,6.0,C6
65,0.0074,-0.2371,0.7696,0.0132,0.4878,5Q1H_CE,20,6.0,C6
66,0.9705,0.0058,-0.0098,-0.0093,0.0009,5Q1H_EG,18,1.0,C1
67,0.0017,-0.6068,-0.1877,-0.0048,0.0024,5UC3_AB,2,3.0,C3
68,0.0001,-0.0076,-0.002,0.0001,-0.001,5UFS_AB,11,5.0,C5
69,0.0696,-0.1828,0.0042,-0.0077,-0.0533,5Y49_AB,2,12.0,C12
70,0.002,-0.002,0.0008,-0.0003,-0.0056,5YXJ_AB,10,5.0,C5
71,0.0717,-0.1784,0.5579,-0.0255,-0.5462,5YXL_AC,20,17.0,C17
72,0.0023,-0.1007,0.3167,0.0065,0.1693,6A5W_AC,17,0.0,C0
73,0.0616,-0.0296,0.0524,-0.0061,-0.0464,6DXK_AB,7,19.0,C19
74,0.0572,-0.2153,0.6795,-0.0285,-0.6441,6ITM_AC,20,4.0,C4
75,0.0031,-0.1304,0.4184,0.0122,0.2059,6WMQ_AB,19,0.0,C0
